region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr
PRD,HS30-60_HR10,36.4234,68.7857,0.529519944,2.786632241,0.076506648,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,18.3581,67.4756,0.2720702,0,0,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,23.6362,81.1907,0.291119549,0,0,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,58.47,49.925,1.171156735,5.847,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,24.7779,60.709,0.408142121,0.893178217,0.036047374,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,54.1534,106.228,0.509784614,3.786850043,0.069928205,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,49.7385,56.4519,0.881077519,4.97385,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,57.3316,53.8163,1.065320358,5.73316,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,24.8513,64.9251,0.38276876,0.685637093,0.027589587,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,57.0204,66.0093,0.863823734,5.70204,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,50.5558,77.1844,0.655000233,5.05558,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,56.5613,54.026,1.046927405,5.65613,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.7649,66.562,0.492246327,2.09964389,0.064082109,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,45.0293,66.4301,0.677844832,4.50293,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,74.2745,84.8457,0.875406768,7.42745,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,48.8182,71.7228,0.680651062,4.88182,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,56.8475,64.0038,0.888189451,5.68475,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,40.608,90.146,0.450469239,2.036751616,0.050156413,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,69.0175,64.3434,1.072643037,6.90175,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,48.9927,59.8475,0.818625674,4.89927,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,47.9281,82.1267,0.583587311,4.530600331,0.094529104,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,28.2825,57.8734,0.488696016,1.778931689,0.062898672,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,59.6645,74.4781,0.801101263,5.96645,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,36.066,51.3411,0.702478132,3.6066,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,80.2849,69.8561,1.149289754,8.02849,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,94.0888,60.2513,1.56160614,9.40888,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,58.3602,64.8657,0.899708166,5.83602,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,16.8189,54.4955,0.308629153,0.04837762,0.002876384,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,76.4024,56.7325,1.346713083,7.64024,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,64.1125,63.4533,1.010388743,6.41125,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,23.9616,69.1382,0.34657541,0.372007113,0.015525137,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,35.7556,50.1317,0.713233343,3.57556,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,60.5619,66.9413,0.904701582,6.05619,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,49.3189,52.5011,0.939387937,4.93189,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,66.7886,56.2311,1.187751974,6.67886,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,42.8095,50.6575,0.845077234,4.28095,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,29.3182,56.9809,0.514526798,2.096513186,0.071508933,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,54.9099,89.6318,0.612616281,5.49099,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,47.7201,48.1928,0.990191481,4.77201,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,19.2034,52.7297,0.364185649,0.410860895,0.021395216,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,44.2611,80.4735,0.550008388,3.688548752,0.083336129,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,28.8555,52.4259,0.550405429,2.408524622,0.083468476,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.7675,72.1424,0.468067322,1.89173777,0.056022441,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.8731,67.1746,0.489368005,2.07503779,0.063122668,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,42.5342,47.8695,0.888544898,4.25342,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,44.8033,56.6843,0.790400517,4.48033,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,36.2143,66.6778,0.543123798,2.934852723,0.081041266,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,43.2159,74.8617,0.577276498,3.994251135,0.092425499,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,42.5314,53.3215,0.797640727,4.25314,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,36.9453,46.8009,0.789414306,3.69453,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,80.8496,70.7287,1.14309467,8.08496,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,35.1279,76.4017,0.459779036,1.87090067,0.053259679,,,,,,,,,,,,,,,,
