Year,StatArea,Section,Survey,Index
2012,6,67,Dive,1637.497371
2012,7,72,Dive,621.3256851
2012,7,73,Dive,1102.982103
2012,7,74,Dive,143.4715292
2012,7,75,Dive,NA
2012,7,76,Dive,212.1559696
2012,7,77,Dive,NA
2012,7,78,Dive,2287.33354
2012,8,85,Dive,1195.797873
2012,8,86,Dive,391.8278006
2013,6,67,Dive,4425.677367
2013,7,72,Dive,5422.835502
2013,7,73,Dive,1666.970101
2013,7,74,Dive,593.6694942
2013,7,75,Dive,NA
2013,7,76,Dive,489.6573239
2013,7,77,Dive,420.1544913
2013,7,78,Dive,7231.614689
2013,8,85,Dive,118.1101759
2013,8,86,Dive,NA
2014,6,67,Dive,3821.78294
2014,7,72,Dive,3841.766164
2014,7,73,Dive,254.6954052
2014,7,74,Dive,513.0808133
2014,7,75,Dive,NA
2014,7,76,Dive,354.725514
2014,7,77,Dive,NA
2014,7,78,Dive,3989.119597
2014,8,85,Dive,289.7749231
2014,8,86,Dive,243.8713286
2015,6,67,Dive,7153.941329
2015,7,72,Dive,7941.015129
2015,7,73,Dive,2315.987013
2015,7,74,Dive,5442.80272
2015,7,75,Dive,NA
2015,7,76,Dive,1171.840049
2015,7,77,Dive,383.7259664
2015,7,78,Dive,5437.652745
2015,8,85,Dive,503.2818132
2015,8,86,Dive,1795.367672
2016,6,67,Dive,7979.427485
2016,7,72,Dive,10144.87525
2016,7,73,Dive,1345.725866
2016,7,74,Dive,790.4528325
2016,7,75,Dive,NA
2016,7,76,Dive,982.1180733
2016,7,77,Dive,1967.899467
2016,7,78,Dive,8379.426157
2016,8,85,Dive,278.2147189
2016,8,86,Dive,639.6069161
2017,6,67,Dive,8438.056426
2017,7,72,Dive,10047.60891
2017,7,73,Dive,1449.836009
2017,7,74,Dive,214.0920762
2017,7,75,Dive,NA
2017,7,76,Dive,46.74934269
2017,7,77,Dive,580.0341778
2017,7,78,Dive,1388.831204
2017,8,85,Dive,648.454322
2017,8,86,Dive,702.9585345
2018,6,67,Dive,3954.634366
2018,7,72,Dive,5266.409004
2018,7,73,Dive,538.1888808
2018,7,74,Dive,99.11228204
2018,7,75,Dive,NA
2018,7,76,Dive,NA
2018,7,77,Dive,4.245221289
2018,7,78,Dive,1764.817569
2018,8,85,Dive,357.1019475
2018,8,86,Dive,279.2478258
2019,6,67,Dive,14947.33376
2019,7,72,Dive,18956.86353
2019,7,73,Dive,269.3244381
2019,7,74,Dive,1989.239611
2019,7,75,Dive,NA
2019,7,76,Dive,NA
2019,7,77,Dive,299.2516589
2019,7,78,Dive,8138.683602
2019,8,85,Dive,901.8226513
2019,8,86,Dive,752.3447813
2020,6,67,Dive,17822.65094
2020,7,72,Dive,9326.498799
2020,7,73,Dive,47.56924622
2020,7,74,Dive,12878.6848
2020,7,75,Dive,NA
2020,7,76,Dive,NA
2020,7,77,Dive,NA
2020,7,78,Dive,1224.665417
2020,8,85,Dive,651.8041289
2020,8,86,Dive,761.261522
